from_stop_id,to_stop_id,transfer_type,min_transfer_time
7946161,1794,2,242
7920949,2364,2,432
7176243,1834,2,270
1825,7899619,2,460
1826,1825,2,396
6217406,2149,2,191
2241,1657,2,133
8007533,2497,2,194
1645,2409,2,90
7932008,2537,2,187
7920918,1781,2,208
7153058,1794,2,222
7920915,1825,2,254
1782,2391,2,79
2186,4378088,2,259
2186,7945876,2,270
2363,2364,2,381
7991682,1825,2,391
2391,3887810,2,233
8007534,1687,2,208
7946001,2030,2,218
3754200,1997,2,270
7275163,1997,2,197
1825,7899620,2,458
2122,7911788,2,240
1825,7931543,2,225
1825,7931541,2,370
2068,1956,2,900
1687,7911789,2,205
1825,7931542,2,391
7946002,2149,2,234
4471839,2404,2,234
2364,7275664,2,235
1825,7931548,2,260
2364,7275665,2,254
2364,7275666,2,229
2364,1827,2,126
7899683,2390,2,278
2149,4008223,2,208
1825,7931549,2,391
2149,4008222,2,191
7991694,2404,2,248
2073,7899771,2,240
1794,7946355,2,234
2073,7899772,2,186
1794,7946356,2,242
1794,7946353,2,209
1794,7946354,2,209
2068,1166830,2,180
2068,1166831,2,180
1825,5122006,2,241
4022898,2030,2,249
1825,5122007,2,254
1825,5122008,2,233
3812959,1781,2,208
7991692,1794,2,234
1644,7921042,2,211
5675639,2117,2,196
7898936,2082,2,237
7932007,1657,2,267
7920949,1825,2,432
1687,2517,2,96
2339,7931762,2,204
2339,7931763,2,190
2391,5121375,2,208
2186,5138192,2,279
2186,5138193,2,270
2186,5138194,2,197
7920920,1665,2,270
1665,4473031,2,270
2186,5138195,2,240
2364,6591476,2,225
2364,6591475,2,254
4473147,2364,2,458
2364,6591472,2,460
1997,7945926,2,261
1997,7945927,2,210
2364,6591473,2,432
2094,7932070,2,207
2094,7932071,2,187
5121383,1825,2,258
7898938,2068,2,196
2475,5121376,2,256
1781,4037007,2,208
2073,7911748,2,186
2081,7932070,2,207
2081,7932071,2,187
1962,7921049,2,284
2030,7911784,2,190
1794,3926337,2,248
7899436,2339,2,201
1687,7911747,2,216
4037296,2364,2,460
1996,1997,2,105
2399,7900265,2,210
8007534,2497,2,208
7921310,2186,2,256
7991693,2404,2,237
7945978,2364,2,423
7920918,2391,2,208
4471839,1794,2,234
1794,7920963,2,227
1794,7920965,2,237
1794,7920964,2,227
1648,1794,2,112
6217405,2030,2,208
2339,2531,2,200
3747943,2094,2,224
2339,6664353,2,201
2117,1166830,2,180
3813001,2122,2,237
2117,1166831,2,180
7920914,2364,2,458
1657,6591481,2,269
7153059,1794,2,263
2364,7899619,2,460
1794,7920966,2,234
7931986,2537,2,198
4473143,1997,2,261
2186,7946368,2,256
7991697,2404,2,248
2186,7946367,2,234
2251,7913247,2,292
2543,4035982,2,237
2543,4035983,2,288
1644,7920972,2,216
4473149,2364,2,225
7931986,1657,2,198
7275296,2030,2,274
1645,1763,2,90
3343755,2537,2,180
7932211,1825,2,226
6217400,2497,2,194
2149,7911784,2,190
7991693,1794,2,237
7931718,2364,2,406
2364,7922524,2,391
7945952,1825,2,423
2364,7922525,2,405
2364,7922523,2,370
3747943,2081,2,224
2073,7911788,2,240
2404,3926308,2,237
2404,3926309,2,225
7921308,1997,2,259
7932213,1825,2,432
7991697,1794,2,248
7275162,1997,2,261
7946204,2404,2,242
2149,2028,2,68
7945952,2364,2,423
2149,2029,2,81
2364,7922526,2,225
7921367,1997,2,209
1834,7931762,2,204
7931718,1825,2,406
3672170,1834,2,270
7898936,2543,2,237
1824,1825,2,368
1834,7931763,2,190
1997,7946368,2,256
7931716,2364,2,241
1997,7946367,2,234
2543,7965045,2,237
2404,7931900,2,237
2543,7965044,2,288
7945978,1825,2,423
2537,6591481,2,269
1916,2537,2,143
2404,7931901,2,234
2364,7946343,2,458
7946163,1794,2,222
7932212,1825,2,399
7921200,2404,2,244
2082,4035983,2,288
7176243,2339,2,270
2082,4035982,2,237
3754200,2186,2,270
1825,1827,2,126
7932212,2364,2,399
2030,2148,2,59
4037251,2364,2,252
8007383,2497,2,194
2068,2211,2,900
4471736,1836,2,216
2404,3926337,2,248
3812959,2391,2,208
2030,2147,2,74
7292434,2186,2,270
7898939,2068,2,216
7932008,1657,2,187
2403,2404,2,90
1962,7932100,2,250
1962,7932101,2,238
1974,7921043,2,244
2543,7898848,2,288
2185,1997,2,101
2543,7898849,2,237
7176400,2339,2,270
2118,7911743,2,222
7898937,2082,2,288
6251764,1794,2,263
7898942,2524,2,235
5121382,2364,2,235
1794,3926309,2,225
1794,3926308,2,237
1825,2366,2,101
2229,7920971,2,216
3812975,1825,2,370
2081,7900440,2,207
2081,7900441,2,205
1665,7275668,2,270
7921309,1997,2,234
2081,7900254,2,222
2081,7900255,2,205
2081,7900256,2,187
2081,7900257,2,207
2404,7991689,2,244
7921200,1794,2,244
2149,7911751,2,203
2339,7920883,2,204
4473148,1825,2,225
7899436,1834,2,201
7920914,1825,2,458
1825,4045009,2,432
1825,4045007,2,225
2404,7991695,2,242
2404,7991696,2,234
7921367,2186,2,209
1834,1651,2,200
2339,7920857,2,196
2364,4037037,2,399
2339,7920859,2,201
2339,7920858,2,210
4473142,2186,2,270
2364,5122006,2,241
2364,5122008,2,233
1834,7899174,2,210
1665,3887783,2,270
2364,5122007,2,254
3672237,1834,2,270
1834,7899173,2,250
2364,7899561,2,252
2364,7899562,2,399
2364,7899563,2,432
2186,7946400,2,209
2364,7922555,2,260
2364,7899560,2,252
7899438,2399,2,247
7931717,2364,2,225
3343795,2094,2,180
2497,7911789,2,205
7899435,1834,2,201
3672170,2339,2,270
7153059,2404,2,263
2303,3893374,2,216
2303,3893375,2,195
2068,7898847,2,196
2068,7898846,2,216
2082,7964939,2,237
2117,4035984,2,196
2030,7911751,2,203
2117,4035985,2,216
7931987,2016,2,242
3813038,2364,2,418
2339,1833,2,90
3672262,2339,2,270
2339,1835,2,180
1793,2404,2,90
7945977,2364,2,393
2068,7965043,2,196
2068,7965042,2,216
2339,1832,2,90
2229,7921043,2,244
3672237,2339,2,270
7991685,1794,2,237
6673104,1997,2,261
2364,3887780,2,403
2030,2084,2,223
7945938,2149,2,234
2524,7920886,2,211
7899731,2390,2,284
8007535,2497,2,225
3813039,1825,2,389
2364,3887778,2,460
1825,7376192,2,252
1825,7376191,2,252
2364,3887779,2,432
1825,7376193,2,396
6673103,2186,2,270
7931716,1825,2,241
1824,2364,2,368
1825,7376190,2,395
2149,4035037,2,191
